Close,High,Low,Open,Volume
GC=F,GC=F,GC=F,GC=F,GC=F
1944.699951171875,1945.0999755859375,1912.199951171875,1912.199951171875,154
1952.699951171875,1952.699951171875,1941.300048828125,1941.699951171875,113
1906.9000244140625,1959.9000244140625,1901.5,1952.0,331
1912.300048828125,1926.699951171875,1912.0,1922.5999755859375,122
1834.0999755859375,1908.0,1834.0999755859375,1908.0,60
1849.5999755859375,1849.5999755859375,1826.5,1826.5,20
1842.9000244140625,1859.699951171875,1839.4000244140625,1849.0,176
1853.5999755859375,1858.5999755859375,1853.5999755859375,1858.0,189
1850.300048828125,1850.699951171875,1836.699951171875,1836.699951171875,149
1829.300048828125,1829.4000244140625,1825.0,1829.4000244140625,31
1839.5,1842.9000244140625,1802.0,1802.0,13
1865.9000244140625,1866.5999755859375,1844.4000244140625,1847.800048828125,16
1865.300048828125,1868.0,1865.300048828125,1865.300048828125,6
1855.699951171875,1855.699951171875,1852.699951171875,1854.9000244140625,8
1854.9000244140625,1864.699951171875,1851.800048828125,1864.699951171875,26
1850.699951171875,1855.800048828125,1850.699951171875,1855.800048828125,59
1844.9000244140625,1844.9000244140625,1844.9000244140625,1844.9000244140625,195540
1837.9000244140625,1862.9000244140625,1831.5,1843.4000244140625,27283
1847.300048828125,1876.0,1838.699951171875,1842.0,1634
1860.800048828125,1871.9000244140625,1850.0,1866.5999755859375,1494
1830.5,1861.300048828125,1827.5999755859375,1859.5999755859375,1293
1832.199951171875,1842.4000244140625,1829.800048828125,1834.800048828125,1195
1788.9000244140625,1832.199951171875,1782.800048828125,1832.199951171875,2375
1810.9000244140625,1813.5,1790.9000244140625,1794.300048828125,1278
1831.9000244140625,1836.699951171875,1809.0,1816.300048828125,254
1835.300048828125,1843.300048828125,1830.699951171875,1841.9000244140625,184
1840.5999755859375,1851.0999755859375,1837.0,1842.5999755859375,543
1824.9000244140625,1845.0,1820.9000244140625,1840.5,602
1821.5999755859375,1827.5,1809.199951171875,1825.0,259
1797.199951171875,1823.4000244140625,1787.300048828125,1820.9000244140625,1141
1771.0999755859375,1789.699951171875,1768.800048828125,1785.800048828125,614
1773.4000244140625,1784.5999755859375,1766.0,1776.0999755859375,587
1775.800048828125,1787.5999755859375,1764.300048828125,1764.300048828125,118
1806.699951171875,1807.800048828125,1784.0,1784.0,165
1804.4000244140625,1811.300048828125,1796.4000244140625,1809.5999755859375,569
1796.4000244140625,1805.800048828125,1796.4000244140625,1805.800048828125,1500
1774.4000244140625,1802.0,1766.699951171875,1801.5,1049
1728.0999755859375,1768.199951171875,1718.800048828125,1768.0999755859375,1593
1722.5,1747.0,1720.300048828125,1737.0999755859375,407
1733.0999755859375,1733.0999755859375,1708.699951171875,1709.4000244140625,867
1715.300048828125,1732.4000244140625,1703.5,1730.0,501
1700.199951171875,1717.4000244140625,1700.199951171875,1706.5,521
1698.0,1701.0,1685.0,1690.5999755859375,302
1677.699951171875,1705.4000244140625,1673.699951171875,1704.699951171875,1290
1716.5999755859375,1717.5,1685.199951171875,1686.199951171875,335
1721.5,1722.9000244140625,1711.0,1713.5999755859375,412
1722.300048828125,1737.5,1720.199951171875,1725.5999755859375,18
1719.5,1722.5,1699.0,1715.9000244140625,80
1728.9000244140625,1731.9000244140625,1722.800048828125,1729.5,147
1730.5999755859375,1733.9000244140625,1726.0,1732.300048828125,729
1726.800048828125,1750.0999755859375,1725.5999755859375,1735.300048828125,488
1732.199951171875,1750.300048828125,1721.800048828125,1745.800048828125,138
1741.4000244140625,1742.199951171875,1733.5999755859375,1742.199951171875,13
1737.800048828125,1737.800048828125,1737.800048828125,1737.800048828125,51
1724.699951171875,1724.699951171875,1724.699951171875,1724.699951171875,6
1732.9000244140625,1732.9000244140625,1727.5,1727.5,26
1724.9000244140625,1733.199951171875,1724.5,1732.699951171875,15
1732.199951171875,1732.199951171875,1721.300048828125,1721.300048828125,33
1712.0999755859375,1712.0999755859375,1712.0999755859375,1712.0999755859375,135457
1683.9000244140625,1712.5999755859375,1676.5,1711.0,25316
1713.800048828125,1713.800048828125,1676.5,1683.699951171875,762
1726.5,1728.800048828125,1706.4000244140625,1706.800048828125,720
1727.0,1729.699951171875,1721.9000244140625,1727.9000244140625,275
1741.5,1744.800048828125,1726.9000244140625,1726.9000244140625,890
1740.0999755859375,1742.699951171875,1733.699951171875,1742.699951171875,557
1756.800048828125,1758.0,1734.5999755859375,1736.0,1298
1743.300048828125,1750.800048828125,1733.300048828125,1750.800048828125,484
1731.199951171875,1740.800048828125,1726.699951171875,1740.800048828125,40
1746.199951171875,1746.9000244140625,1722.0999755859375,1733.800048828125,367
1734.9000244140625,1745.9000244140625,1732.699951171875,1741.300048828125,1037
1765.4000244140625,1767.9000244140625,1740.0999755859375,1740.0999755859375,368
1779.0,1779.5,1770.0999755859375,1770.4000244140625,625
1769.4000244140625,1788.5,1769.4000244140625,1782.0999755859375,144
1777.300048828125,1777.300048828125,1765.5,1769.300048828125,1464
1792.300048828125,1794.0999755859375,1777.699951171875,1783.0,250
1781.199951171875,1794.199951171875,1779.5,1794.199951171875,159
1777.0,1794.5,1772.0,1786.0999755859375,332
1779.199951171875,1779.699951171875,1770.800048828125,1778.0,549
1778.0,1782.0,1777.699951171875,1780.0,117
1773.199951171875,1774.0,1764.5999755859375,1768.199951171875,756
1768.0999755859375,1789.0,1758.5999755859375,1781.0,196
1767.300048828125,1771.800048828125,1763.9000244140625,1771.800048828125,18
1791.4000244140625,1793.0,1788.5,1788.5,18
1775.800048828125,1788.5,1774.800048828125,1788.199951171875,182
